2014-10-09 09:30:59,199   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:59,313   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:59,431   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:59,551   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:59,677   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:59,805   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:30:59,922   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:31:00,373   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:31:00,491   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
2014-10-09 09:31:00,611   DEBUG test.name.hampton.mike.gallery.solr.BuildSOLRCoreTest: Observable update: SOLRIndexingEvent [source=name.hampton.mike.gallery.solr.BuildSOLRCore@1500955a, eventType=INDEXING_PROGRESS, status=0, error=null, count=0]
